e883b392-01dc-3832-8f8d-acc5a1d7fffb;9dc481e4-e4cd-4cb1-a03e-d539f774e958;1;Acenaphthylene;emissions to water/ocean;;Acenaphthylene;Elementary flows/Emission to water/ocean;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
21232031-bf1b-388e-8a82-3deeeec78498;c6e27975-c0a0-4189-ac1d-068f47a7b629;1;Acenaphthylene;emissions to water/river;;Acenaphthylene;Elementary flows/Emission to water/fresh water;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
0887d4f8-71a2-3958-8b5a-ae2ab78de251;cdcdbfc9-3d5f-4e78-8033-8dbecbb2cfec;1;Acephate;emissions to soil/agricultural;;Acephate;Elementary flows/Emission to soil/agricultural;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
a5c35b34-7f00-3992-b261-4001fa9a841f;5ad58fcc-e9ba-4155-a3c9-e4ffb3065a6f;1;Acetaldehyde;emissions to air/high. pop.;;Acetaldehyde;Elementary flows/Emission to air/high population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
c89b58f8-eb40-3065-8403-336b495dc4c6;fc9f9a81-c4b9-4dce-bc20-9f04e05ca2f1;1;Acetaldehyde;emissions to air/low. pop.;;Acetaldehyde;Elementary flows/Emission to air/low population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
85fbbd95-e2e8-3f21-84d6-38b0e959dfd8;e3e8f6a2-c45e-4685-9859-698b2eadaf5b;1;Acetaldehyde;emissions to air/unspecified;;Acetaldehyde;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
12e83f41-37cc-3056-88bf-5abad86fade5;96f27de7-48e1-4f60-8359-1eafdb14a72a;1;Acetaldehyde;emissions to water/river;;Acetaldehyde;Elementary flows/Emission to water/fresh water;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
e289088c-c613-3deb-a1e2-6d578027e8e8;4b51a9d0-4100-49c1-8d47-ec47eb51c58a;1;Acetaldehyde;emissions to water/unspecified;;Acetaldehyde;Elementary flows/Emission to water/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
e646c4a4-240f-340b-9392-00bb5fde2cc7;eb23cf3a-b866-458d-94b3-9aee4145fcc9;1;Acetamide;emissions to soil/agricultural;;Acetamide;Elementary flows/Emission to soil/agricultural;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
3e3214e4-b0cc-3700-8e69-7d0b57786a9f;b9b68c0c-053e-41de-ab72-8dfe1c3f5755;1;Acetic acid;emissions to air/high. pop.;;Acetic acid;Elementary flows/Emission to air/high population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
4b15df60-106f-3c94-8316-38d9d5d4cdb3;c5cc0625-6e01-4639-b053-5d1d9d22a53c;1;Acetic acid;emissions to air/low. pop.;;Acetic acid;Elementary flows/Emission to air/low population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
d6fa4341-1d4e-30e3-9986-23520665e474;d157416d-db9b-4f88-a7f3-a9a5f1ea88f2;1;Acetic acid;emissions to air/unspecified;;Acetic acid;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
6204bdca-52e2-36ae-bb39-a762457420e0;18452b50-8c57-41d2-bbdd-37996c455771;1;Acetic acid;emissions to water/ocean;;Acetic acid;Elementary flows/Emission to water/ocean;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
d02b5673-7fca-3775-b150-7fc1b0e51218;ba6ccdc7-da30-45fd-8215-babbf046cd3e;1;Acetic acid;emissions to water/river;;Acetic acid;Elementary flows/Emission to water/fresh water;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
78fe5fc7-1242-3005-b187-941f4e90f749;edf1afb4-95cd-4482-b00d-6c814e08c807;1;Acetochlor;emissions to air/unspecified;;Acetochlor;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
5a34b487-adb5-3663-bbf2-e3f721b8c188;92ee2fc1-238c-465d-9887-418af42db9c7;1;Acetochlor;emissions to soil/agricultural;;Acetochlor;Elementary flows/Emission to soil/agricultural;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
