ID,Name,Description,Category,Flow type,CAS number,Chem. formula,Reference flow property
580d620f-fb86-3344-9a88-6141c50176ad,"Triclopyr, butoxyethyl-",,Elementary flows/Emission to soil/unspecified,elementary,064700-56-7,,Mass
f2f2705b-21a2-3f33-8af7-70717cc8c4c1,"Triclopyr, butoxyethyl-",,Elementary flows/Emission to water/river,elementary,064700-56-7,,Mass
aed9259c-aca4-3cb9-bf6e-57d4c719d13d,"Triclopyr, butoxyethyl-",,Elementary flows/Emission to water/lake,elementary,064700-56-7,,Mass
f575a589-75ed-3aa4-b8bb-2e3a67dbdf86,"Triclopyr, butoxyethyl-",,Elementary flows/Emission to soil/industrial,elementary,064700-56-7,,Mass
f64bcf09-9398-3d6b-bb78-62fee9b3aa87,"Triclopyr, butoxyethyl-",,"Elementary flows/Emission to water/ground water, long-term",elementary,064700-56-7,,Mass
d5e0d487-7f75-31f3-8f5f-419a06e6eee0,"Triclopyr, butoxyethyl-",,Elementary flows/Emission to air/low population density,elementary,064700-56-7,,Mass
964b6b49-9a4c-4163-9c01-5beeb974e572,Tricosene,,Elementary flows/Emission to soil/agricultural,elementary,,,Mass
a7a01899-d774-3352-a985-25b2f8146985,Tricresyl phosphate,,Elementary flows/Emission to soil/industrial,elementary,001330-78-5,,Mass
46636e31-947e-3064-98e2-46929a315ead,Tricresyl phosphate,,Elementary flows/Emission to water/unspecified,elementary,001330-78-5,,Mass
41fe9e6b-1c77-3b31-ae68-0dd5653adfe5,Tricresyl phosphate,,Elementary flows/Emission to air/unspecified,elementary,001330-78-5,,Mass
599627ed-7159-387b-9287-31388d80f6c6,Tricresyl phosphate,,Elementary flows/Emission to soil/forestry,elementary,001330-78-5,,Mass
a0cf464d-0b56-3d6f-9932-1e04f2bc796a,Tricresyl phosphate,,"Elementary flows/Emission to water/ground water, long-term",elementary,001330-78-5,,Mass
90058886-7622-333d-b76e-c8959a24373f,Tricresyl phosphate,,Elementary flows/Emission to water/river,elementary,001330-78-5,,Mass
ebffcccd-aebf-3d70-a739-f7c12d2dffc2,Tricresyl phosphate,,Elementary flows/Emission to soil/agricultural,elementary,001330-78-5,,Mass
a474e8d2-1785-353b-a187-95f70adafa4a,Tricresyl phosphate,,Elementary flows/Emission to air/lower stratosphere + upper troposphere,elementary,001330-78-5,,Mass
04a87549-dfd7-3185-beaf-81ab9f3982c7,Tricresyl phosphate,,"Elementary flows/Emission to air/low population density, long-term",elementary,001330-78-5,,Mass
4352576c-6cf9-364b-a6b1-065f1296502f,Tricresyl phosphate,,Elementary flows/Emission to air/high population density,elementary,001330-78-5,,Mass
8b95b7b8-ef5b-315c-a487-e1229d4c0ba3,Tricresyl phosphate,,Elementary flows/Emission to air/low population density,elementary,001330-78-5,,Mass
2608f792-36e9-3133-8250-b07315f187cf,Tricresyl phosphate,,Elementary flows/Emission to water/ocean,elementary,001330-78-5,,Mass
2b48bc9e-4649-32c6-801e-c5a95b5fa03e,Tricresyl phosphate,,Elementary flows/Emission to air/indoor,elementary,001330-78-5,,Mass
03234f2a-6506-4c1b-b10b-7905a0e9644c,TRICRESYL PHOSPHATE,,Elementary flows/Emission to soil/unspecified,elementary,001330-78-5,,Mass
0afe7a7b-cdfb-33c5-a7a4-f1e986ca9223,Tricyclazole,,Elementary flows/Emission to air/high population density,elementary,041814-78-2,,Mass
