"4b4ead48-6399-327e-9739-5321ce805c7b";"Human toxicity + CML-IA baseline.csv";"CML-IA baseline";"Human toxicity";"kg 1,4-DB eq"
"d551488d-7f48-3ea9-9d78-794721d31cc2";"Global warming, Human health + ReCiPe 2016 Endpoint (I).csv";"ReCiPe 2016 Endpoint (I)";"Global warming, Human health";"DALY"
"7f771819-2b75-30a4-b1d2-9a5846590d6d";"Freshwater eutrophication + ReCiPe 2016 Midpoint (H).csv";"ReCiPe 2016 Midpoint (H)";"Freshwater eutrophication";"kg P eq"
"1134bd92-15e1-38c1-9a0d-ee8435b5aae3";"Ecotoxicity water acute + EDIP 2003.csv";"EDIP 2003";"Ecotoxicity water acute";"m3"
"54916ea6-82c2-3e51-9fe3-e93653143b35";"Zinc + Selected LCI results, additional.csv";"Selected LCI results, additional";"Zinc";"kg"
"0ce35b4d-0ee7-30fb-a3a5-32a94d223ded";"Water resource depletion + ILCD 2011 Midpoint+.csv";"ILCD 2011 Midpoint+";"Water resource depletion";"m3 water eq"
"298b3635-3751-3bad-a244-d5481ce7d846";"Global warming + ReCiPe 2016 Midpoint (I).csv";"ReCiPe 2016 Midpoint (I)";"Global warming";"kg CO2 eq"
"3a615a76-0ebd-43e5-970a-c68d9319d2a8";"Crustal Scarcity Indicator + Crustal Scarcity Indicator+.csv";"Crustal Scarcity Indicator";"Crustal scarcity indicator";"kg Si eq"
"d6c1cf80-59b7-31e5-98b5-2394a53bc4ae";"YOLL + EPS 2015d.csv";"EPS 2015d";"YOLL";"PersonYr"
"d345ae02-543a-3bed-bf43-e2f1c52a2163";"Marine ecotoxicity + ReCiPe 2016 Midpoint (I).csv";"ReCiPe 2016 Midpoint (I)";"Marine ecotoxicity";"kg 1,4-DCB"
"ced83ca3-af5a-38f0-8b59-bb7900894301";"Photochemical ozone formation + ILCD 2011 Midpoint+.csv";"ILCD 2011 Midpoint+";"Photochemical ozone formation";"kg NMVOC eq"
"077620f4-b37c-361f-b873-090e6b2dacbd";"HH criteria air pollutants + BEES+.csv";"BEES+";"HH criteria air pollutants";"microDALYs"
"403b1653-6361-34aa-bb11-326308519db4";"Human toxicity, non-cancer + USEtox 2 (recommended + interim).csv";"USEtox 2 (recommended + interim)";"Human toxicity, non-cancer";"cases"
"72500c2f-f2f7-3c10-8b0a-1d8a77e5f222";"Housing availability + EPS 2015d.csv";"EPS 2015d";"Housing availability";"m2"
"f9e85ee6-1163-3d02-9158-1564276613e5";"WDI + Berger et al 2014 (Water Scarcity).csv";"Berger et al 2014 (Water Scarcity)";"WDI";"m3"
"2d0a4c8e-3af2-344e-a4af-6191359bd649";"Ionizing radiation E (interim) + ILCD 2011 Midpoint+.csv";"ILCD 2011 Midpoint+";"Ionizing radiation E (interim)";"CTUe"
"c23a169a-f3a3-362c-a869-7f6a63b3cc1e";"Ionizing radiation + ReCiPe 2016 Midpoint (I).csv";"ReCiPe 2016 Midpoint (I)";"Ionizing radiation";"kBq Co-60 eq"
"2dddb0a4-2f97-3fef-a4e6-708f0b4c2554";"Human toxicity, cancer - inorganics + EF 3.0 Method (adapted).csv";"EF 3.0 Method (adapted)";"Human toxicity, cancer - inorganics";"CTUh"
"d142afdf-e16e-354a-87bc-792b3f35e3d3";"Human toxicity, cancer + USEtox 2 (recommended + interim).csv";"USEtox 2 (recommended + interim)";"Human toxicity, cancer";"cases"
"a30f30eb-d5ff-3051-80f2-2f789db52886";"Abiotic depletion (fossil fuels) + CML-IA baseline.csv";"CML-IA baseline";"Abiotic depletion (fossil fuels)";"MJ"
"59238942-bccd-3388-b4ce-d275c220801e";"Aquatic ecotoxicity + IMPACT 2002+.csv";"IMPACT 2002+";"Aquatic ecotoxicity";"kg TEG water"
"45a1d5ed-3a11-367b-8481-fa1454e44a5e";"Fw. aq. ecot.  (PAH, Xylene & NMVOC av.) + CML-IA non-baseline.csv";"CML-IA non-baseline";"Fw. aq. ecot.  (PAH, Xylene & NMVOC av.)";"kg 1,4-DB eq"
"933e49ae-e8bd-3fd7-9182-b18700b61669";"Depletion of abiotic resources + EPS 2015d.csv";"EPS 2015d";"Depletion of abiotic resources";"kg"
"d597d9bd-f306-3ad3-af11-16e6dd0ac7ec";"Human toxicity, non-cancer effects + ILCD 2011 Midpoint+.csv";"ILCD 2011 Midpoint+";"Human toxicity, non-cancer effects";"CTUh"
"97589064-8680-4cbd-9270-7ad52601d1b5";"Climate change - land use and land transformation + IPCC 2013 GWP 100a (incl. CO2 uptake) .csv";"IPCC 2013 GWP 100a (incl. CO2 uptake)";"Climate change - land use and land transformation";"kg CO2 eq"
"31cff242-1ca3-32f8-943c-e54a8bf4282d";"Human toxicity, cancer + USEtox 2 (recommended only).csv";"USEtox 2 (recommended only)";"Human toxicity, cancer";"cases"
"935d8527-1659-3dcd-8103-fa230dabcf72";"Eutrophication + EPD (2018).csv";"EPD (2018)";"Eutrophication";"kg PO4--- eq"
"b3c4cee1-4bdf-3289-b1b1-14c48189462d";"Climate change + EF Method (adapted).csv";"EF Method (adapted)";"Climate change";"kg CO2 eq"
"ad0660c4-968e-3272-96f8-a68b41bfb5e9";"Urban land occupation + Environmental Prices.csv";"Environmental Prices";"Urban land occupation";"m2a"
"644c466d-d2b4-340d-ad0d-caf1b5483403";"Ecotoxicity, freshwater + EN 15804 +A2 Method.csv";"EN 15804 +A2 Method";"Ecotoxicity, freshwater";"CTUe"
